Image Name	Spearman Correlation
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_6160.JPEG	-0.115401
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_41.JPEG	-0.234637
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_3271.JPEG	-0.204782
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_9260.JPEG	0.220893
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_16611.JPEG	0.228134
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_12880.JPEG	0.184578
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_9390.JPEG	0.160636
/data/data0/Bhargava/imagenet_10/val/n03000684/ILSVRC2012_val_00024480.JPEG	0.633765
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_12170.JPEG	0.511367
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_35692.JPEG	0.117419
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_18591.JPEG	0.650008
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_5231.JPEG	-0.476498
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_7920.JPEG	0.373436
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_5910.JPEG	-0.417162
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_31112.JPEG	-0.096797
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_31000.JPEG	-0.098445
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_2102.JPEG	0.265920
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_16542.JPEG	-0.294908
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_1310.JPEG	-0.426948
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_19862.JPEG	0.061655
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_851.JPEG	-0.327805
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_2610.JPEG	-0.007583
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_2980.JPEG	-0.120719
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_15441.JPEG	0.298000
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_15071.JPEG	0.126837
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_2541.JPEG	0.272165
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_1210.JPEG	0.156131
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_1031.JPEG	-0.120844
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_7822.JPEG	-0.162510
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_16591.JPEG	0.192852
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_17182.JPEG	-0.480936
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_17261.JPEG	0.332427
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_6471.JPEG	-0.113589
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_2472.JPEG	0.154222
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_3161.JPEG	-0.345560
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_6392.JPEG	0.406332
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_3881.JPEG	0.238465
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_21831.JPEG	-0.091596
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_20290.JPEG	0.556621
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_16861.JPEG	0.016597
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_6881.JPEG	-0.361385
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_7312.JPEG	0.373293
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_8522.JPEG	0.362234
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_1970.JPEG	0.499334
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_2060.JPEG	-0.036341
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_29900.JPEG	0.056977
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_27981.JPEG	0.463080
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_4062.JPEG	0.205297
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_8692.JPEG	0.166971
