Image Name	Spearman Correlation
/data/data0/Bhargava/imagenet/val/n03065424/ILSVRC2012_val_00001351.JPEG	-0.633166
/data/data0/Bhargava/imagenet/val/n03065424/ILSVRC2012_val_00007436.JPEG	0.176596
/data/data0/Bhargava/imagenet/val/n03065424/ILSVRC2012_val_00011283.JPEG	0.353047
/data/data0/Bhargava/imagenet/val/n03065424/ILSVRC2012_val_00036319.JPEG	-0.030215
/data/data0/Bhargava/imagenet/val/n03065424/ILSVRC2012_val_00047502.JPEG	0.336888
/data/data0/Bhargava/imagenet/val/n03065424/ILSVRC2012_val_00020012.JPEG	0.192793
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00006252.JPEG	0.471873
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00039432.JPEG	-0.188778
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00040010.JPEG	-0.180998
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00003181.JPEG	0.574786
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00020175.JPEG	-0.007028
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00021975.JPEG	-0.168494
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00036056.JPEG	0.456249
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00041219.JPEG	-0.079635
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00044368.JPEG	-0.024486
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00001079.JPEG	0.092136
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00031618.JPEG	0.763867
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00021031.JPEG	0.081317
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00003835.JPEG	0.136264
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00013028.JPEG	0.637216
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00039476.JPEG	0.119824
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00047144.JPEG	0.387657
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00038340.JPEG	0.283151
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00046353.JPEG	-0.098027
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00010649.JPEG	0.146822
/data/data0/Bhargava/imagenet/val/n15075141/ILSVRC2012_val_00034988.JPEG	-0.061161
